 ~020A68 ,43EACC ,M-LLMW , Wed Mar 17 15:30:44 2021
 ~02D3CF ,407757 ,G-OUEG , Fri Mar 19 12:24:44 2021
 ~0355C1 ,3CCB72 ,D-CEIS , Wed Mar 24 19:54:49 2021
 ~044FEF ,A7215D ,N559FF , Fri Mar 12 10:41:15 2021
 ~05D038 ,4D024C ,LX-FPF , Wed Feb 24 11:10:07 2021
 ~068FF6 ,43EAE4 ,M-VITB , Thu Mar 11 06:47:52 2021
 ~096A34 ,43EAE0 ,M-LWSG , Sat Mar  6 07:24:15 2021
 ~0AC5EA ,A9E60B ,N737LE , Mon Mar  8 13:39:51 2021
 ~0BE5BC ,4BB021 ,TC-LAA , Tue Mar 16 00:02:02 2021
 ~0D4CDF ,A7C7E6 ,N600GS , Wed Mar 17 17:15:14 2021
 ~0DCB68 ,3CC187 ,D-CAPB , Fri Feb 12 03:05:32 2021
 ~0F39AA ,4A5243 ,YR-TRC , Sat Mar 20 13:59:32 2021
 ~0F39AA ,4A5243 ,YR-TRC , Sat Mar 20 14:07:30 2021
 ~0F514E ,4D229E ,9H-JZM , Tue Mar  2 10:17:50 2021
 ~11A6D8 ,459257 ,OY-DRW , Sat Mar 20 14:55:32 2021
 ~13DAF7 ,406661 ,G-EMPP , Sun Mar  7 10:06:58 2021
 ~13DAF7 ,406661 ,G-EMPP , Sun Mar  7 14:35:47 2021
 ~13DAF7 ,406661 ,G-EMPP , Sun Mar  7 16:20:30 2021
 ~13DAF7 ,407615 ,G-CTSK , Sun Mar  7 10:06:58 2021
 ~13DAF7 ,407649 ,G-CTSS , Sun Mar  7 16:20:30 2021
 ~13DAF7 ,407983 ,G-LHXD , Sun Mar  7 16:20:30 2021
 ~13DAF7 ,407997 ,G-LHXC , Sun Mar  7 16:20:30 2021
 ~1570B5 ,A23100 ,N240LG , Fri Mar 12 07:57:14 2021
 ~16763E ,C0649E ,C-GMCR , Fri Mar  5 09:52:22 2021
 ~179510 ,A506DA ,N423AX , Mon Mar  1 21:38:38 2021
 ~179510 ,A506DA ,N423AX , Thu Mar  4 20:39:49 2021
 ~17E381 ,A54E6A ,N441AX , Thu Mar 11 20:56:07 2021
 ~1FBCAD ,406204 ,G-LATE , Sun Mar  7 10:15:12 2021
 ~21A98B ,4B8664 ,TC-ASD , Sun Feb 28 15:54:05 2021
 ~239EDC ,4D0247 ,LX-EMO , Sun Feb 21 13:55:07 2021
 ~265C7F ,3CD436 ,D-CHRA , Fri Mar  5 18:04:31 2021
 ~2B1561 ,4B1A18 ,HB-JWY , Fri Mar 19 09:39:20 2021
 ~2BE03A ,4B174B ,HB-IVJ , Mon Mar 22 11:53:59 2021
 ~2EAAB3 ,A9E60B ,N737LE , Tue Mar  2 10:08:11 2021
 ~2ED828 ,40016C ,VP-BEL , Fri Mar 12 08:01:15 2021
 ~2F2712 ,4D020F ,LX-GVV , Fri Mar 19 15:01:00 2021
 ~30103B ,4CAB82 ,EI-JSK , Wed Feb 10 15:31:03 2021
 ~3061EB ,781362 ,B-1062 , Sat Mar 20 10:24:51 2021
 ~3061EB ,A95A3C ,N701WC , Sat Mar 20 10:24:51 2021
 ~33FE52 ,440691 ,OE-LVA , Thu Mar 18 13:54:35 2021
 ~3485E0 ,A980CF ,N711LS , Tue Mar 23 11:21:27 2021
 ~36390E ,45D994 ,OY-VLT , Wed Mar  3 14:38:00 2021
 ~3A4B2B ,406658 ,G-DMPP , Mon Mar  8 09:26:18 2021
 ~3B5EE7 ,4911E6 ,CS-DOF , Wed Mar  3 06:15:16 2021
 ~3C364E ,A5B3A8 ,N467AM , Sat Mar 13 17:17:10 2021
 ~3D0E00 ,49D0AD ,OK-HWK , Sat Feb 13 15:44:41 2021
 ~3E4A32 ,710195 ,HZ-MF7 , Mon Mar 15 20:06:25 2021
 ~438150 ,A17DD1 ,N1955M , Sat Mar  6 07:04:48 2021
 ~44AE63 ,43EAE0 ,M-LWSG , Mon Mar 22 09:25:59 2021
 ~44AE63 ,43EAE0 ,M-LWSG , Tue Mar 23 18:09:23 2021
 ~450425 ,40686B ,G-GAAL , Thu Feb 25 07:30:51 2021
 ~457C6F ,406C60 ,G-LSCW , Tue Mar  9 08:12:51 2021
 ~482708 ,49D43E ,OK-VEA , Sat Feb 20 09:50:51 2021
 ~4B1292 ,A5B769 ,N468AX , Sun Mar 21 00:47:35 2021
 ~4BEBFB ,4064DB ,G-LEGC , Tue Mar 23 14:00:53 2021
 ~4C1AEB ,A15ED9 ,N188ES , Wed Mar 10 19:19:47 2021
 ~4D547C ,42433C ,VP-BRJ , Thu Mar 11 14:56:02 2021
 ~4D8D29 ,A83D76 ,N63XF , Wed Mar 17 18:40:22 2021
 ~518788 ,463AFF ,OH-WIX , Fri Mar  5 13:05:29 2021
 ~51EE87 ,406425 ,G-ENEA , Sat Mar 20 14:02:04 2021
 ~53A32F ,4A5321 ,YR-TYA , Mon Mar 22 20:07:50 2021
 ~54BE9E ,A9E60B ,N737LE , Tue Mar 16 20:36:23 2021
 ~58347C ,4CA2C2 ,EI-DLE , Mon Feb 15 10:42:45 2021
 ~599DBF ,A915CC ,N685AB , Fri Feb 26 14:15:43 2021
 ~599DBF ,A915CC ,N685AB , Sat Feb 27 08:53:08 2021
 ~5D4736 ,43E9B5 ,M-FRZN , Wed Mar  3 08:44:30 2021
 ~6094E9 ,A60BF3 ,N489VR , Mon Mar  8 08:26:30 2021
 ~6094E9 ,A60BF3 ,N489VR , Mon Mar  8 08:39:03 2021
 ~6094E9 ,A60BF3 ,N489VR , Sat Mar 13 05:45:27 2021
 ~6094E9 ,A60BF3 ,N489VR , Sat Mar 13 06:09:51 2021
 ~611EEC ,A506DA ,N423AX , Wed Feb 17 13:43:24 2021
 ~614EC8 ,49D371 ,OK-PPP , Fri Mar  5 09:12:07 2021
 ~614EC8 ,49D371 ,OK-PPP , Fri Mar  5 14:01:29 2021
 ~6459D9 ,406661 ,G-EMPP , Sat Mar  6 18:29:16 2021
 ~679E8D ,A40A9D ,N36GV , Tue Mar 23 18:17:38 2021
 ~6826F3 ,4B1934 ,HB-JOE , Sun Mar  7 06:05:50 2021
 ~6826F3 ,4B1934 ,HB-JOE , Sun Mar  7 06:42:33 2021
 ~6CEA21 ,A01F9D ,N107KG , Tue Feb 23 09:38:46 2021
 ~6D43AC ,49D407 ,OK-PHM , Tue Mar  9 08:16:01 2021
 ~6D43AC ,49D407 ,OK-PHM , Tue Mar  9 08:24:57 2021
 ~70D1FA ,406661 ,G-EMPP , Fri Feb 19 09:48:51 2021
 ~70D1FA ,406661 ,G-EMPP , Fri Feb 19 14:42:15 2021
 ~70D1FA ,406661 ,G-EMPP , Fri Feb 19 16:32:21 2021
 ~70D1FA ,406661 ,G-EMPP , Thu Feb 18 15:53:36 2021
 ~70D1FA ,407983 ,G-LHXD , Fri Feb 19 16:32:21 2021
 ~748093 ,A63AB8 ,N500J , Tue Mar  9 06:01:15 2021
 ~76D8B2 ,4069EF ,G-ODSA , Wed Mar 17 11:52:10 2021
 ~76D8B2 ,4069EF ,G-ODSA , Wed Mar 17 12:47:12 2021
 ~76D8B2 ,407616 ,G-CTSH , Wed Mar 17 12:47:12 2021
 ~76EC52 ,45BA04 ,OY-NPD , Thu Feb 11 15:18:03 2021
 ~777CFF ,4D21C3 ,9H-CAA , Thu Feb 25 12:27:47 2021
 ~7794D2 ,4D023A ,LX-LXX , Mon Mar 22 17:33:39 2021
 ~79C59B ,ACB0DE ,N917C , Sun Mar  7 15:35:06 2021
 ~79C59B ,ACB0DE ,N917C , Tue Mar  9 18:51:59 2021
 ~7EB60E ,4012BB ,G-VICC , Sun Feb 28 11:23:49 2021
 ~7EB60E ,406425 ,G-ENEA , Sun Feb 28 08:56:22 2021
 ~7EB60E ,406425 ,G-ENEA , Sun Feb 28 11:23:49 2021
 ~7EB60E ,406425 ,G-ENEA , Sun Feb 28 12:43:19 2021
 ~7EB60E ,406425 ,G-ENEA , Sun Feb 28 12:56:03 2021
 ~7EB60E ,ADF52D ,N999MH , Sun Feb 28 11:23:49 2021
 ~80E73F ,A954FD ,N700EL , Thu Mar 18 10:45:05 2021
 ~80E73F ,A954FD ,N700EL , Thu Mar 18 14:11:29 2021
 ~818165 ,424B5C ,M-VLCC , Mon Mar  1 12:08:40 2021
 ~83EA80 ,ACC647 ,N922H , Fri Mar 19 21:19:46 2021
 ~83EA80 ,ACC647 ,N922H , Fri Mar 19 21:46:14 2021
 ~86676E ,A622C1 ,N495AX , Mon Mar 22 20:43:56 2021
 ~87C320 ,44CC4F ,OO-SBO , Sat Mar 20 08:30:17 2021
 ~8891AB ,3C70B8 ,D-ALEX , Sat Mar  6 13:24:02 2021
 ~8D2B40 ,500113 ,T7-WMB , Fri Mar 19 13:21:11 2021
 ~8E76EB ,3CD436 ,D-CHRA , Tue Feb 16 16:34:46 2021
 ~8F9886 ,406658 ,G-DMPP , Thu Mar  4 16:24:20 2021
 ~90A8F1 ,A21B74 ,N235DX , Sun Mar  7 21:44:58 2021
 ~90A8F1 ,A21B74 ,N235DX , Tue Mar  9 06:33:12 2021
 ~931BC1 ,A3B812 ,N339JM , Mon Mar  1 01:31:23 2021
 ~942A1C ,4064DB ,G-LEGC , Fri Mar  5 17:58:15 2021
 ~9BBF14 ,40686B ,G-GAAL , Sat Mar 20 08:21:10 2021
 ~9C28EE ,A950FF ,N7MR , Wed Mar 17 08:30:29 2021
 ~9C785E ,A915CC ,N685AB , Fri Mar 19 12:20:39 2021
 ~9C785E ,A915CC ,N685AB , Thu Mar 18 18:46:18 2021
 ~9DE5F0 ,424B61 ,M-YNNS , Sun Feb 28 14:24:36 2021
 ~9E24F1 ,449825 ,OO-FAE , Mon Feb 22 14:29:45 2021
 ~9E24F1 ,449825 ,OO-FAE , Mon Feb 22 15:48:36 2021
 ~9E3289 ,A13F5E ,N18LS , Sun Feb 28 19:34:43 2021
 ~9E3289 ,A13F5E ,N18LS , Sun Feb 28 19:46:15 2021
 ~9E3289 ,A13F5E ,N18LS , Wed Mar  3 11:01:58 2021
 ~9FDC1E ,449825 ,OO-FAE , Wed Feb 10 14:47:10 2021
 ~A2EFE4 ,C0288A ,C-FPJD , Tue Mar 23 12:08:36 2021
 ~A5614A ,424B89 ,M-ARIA , Fri Feb 12 08:32:09 2021
 ~A5A998 ,43EA3A ,M-ARIE , Tue Feb 23 11:33:40 2021
 ~AD6492 ,40016C ,VP-BEL , Fri Feb 26 13:28:05 2021
 ~B25E14 ,407757 ,G-OUEG , Mon Mar  1 09:20:53 2021
 ~B2C34E ,A2DE24 ,N284PH , Mon Mar 22 18:17:42 2021
 ~B38D46 ,45BA06 ,OY-NPF , Fri Feb 12 13:47:23 2021
 ~B4D114 ,AC643B ,N898NC , Sat Mar  6 10:42:10 2021
 ~B7C7D2 ,43EAE9 ,M-ATEX , Wed Feb 24 16:35:17 2021
 ~BC00DE ,A79BF6 ,N59KG , Mon Mar  8 09:14:20 2021
 ~BCD7C0 ,AD8523 ,N970RG , Sat Mar 13 05:17:58 2021
 ~BD6EFB ,A54E6A ,N441AX , Wed Mar 17 13:37:45 2021
 ~C0AC84 ,463AFE ,OH-WIW , Tue Mar 16 12:39:52 2021
 ~C0AC84 ,463AFE ,OH-WIW , Tue Mar 16 15:13:02 2021
 ~C34B2F ,A89192 ,N651MP , Sun Mar 14 06:46:41 2021
 ~C34B2F ,A89192 ,N651MP , Wed Mar 17 14:59:49 2021
 ~C7094F ,43EBCD ,2-DARE , Thu Mar 25 06:44:45 2021
 ~CA74E7 ,49120C ,CS-DPL , Sat Mar 20 06:17:37 2021
 ~CA7B76 ,4068F0 ,G-JAGA , Wed Feb 17 12:58:24 2021
 ~CADB41 ,4D2296 ,9H-VBG , Fri Mar 12 07:27:04 2021
 ~CADB41 ,4D2296 ,9H-VBG , Mon Mar  8 15:09:48 2021
 ~CB302C ,424B5C ,M-VLCC , Thu Feb 25 13:33:58 2021
 ~CB302C ,424B5C ,M-VLCC , Thu Feb 25 14:13:35 2021
 ~CB9E3F ,4064DB ,G-LEGC , Mon Mar 15 14:35:20 2021
 ~CCFE13 ,4243EA ,VQ-BSF , Fri Mar 19 02:05:03 2021
 ~CE51FA ,AAE2A5 ,N800J , Fri Mar 19 20:40:49 2021
 ~CFAD0E ,A87B8F ,N646AK , Thu Mar 11 20:07:14 2021
 ~D333E1 ,AAE2A5 ,N800J , Tue Mar  2 05:07:36 2021
 ~D333E1 ,AAE2A5 ,N800J , Tue Mar  2 19:56:14 2021
 ~D7B669 ,A2A270 ,N269WR , Wed Mar  3 15:18:38 2021
 ~D880FB ,4075D3 ,G-SPTX , Mon Mar  1 13:25:08 2021
 ~DA44E8 ,A0F2AC ,N160LD , Sun Mar  7 06:46:17 2021
 ~DAEAAC ,A506DA ,N423AX , Fri Feb 12 19:26:27 2021
 ~DC71C3 ,AC3B9D ,N888AR , Wed Feb 10 19:47:01 2021
 ~DDBC15 ,45D92B ,OY-VIK , Fri Mar  5 11:26:49 2021
 ~DDDB0E ,4911E6 ,CS-DOF , Wed Feb 10 21:50:37 2021
 ~DF27D5 ,424405 ,VQ-BEB , Fri Mar  5 08:15:33 2021
 ~DF27D5 ,424405 ,VQ-BEB , Sat Mar  6 17:12:51 2021
 ~DFB434 ,ACB94B ,N919NE , Sun Feb 14 10:11:31 2021
 ~E19F0A ,4D020B ,LX-VIP , Mon Mar 15 20:32:32 2021
 ~E2D3B8 ,4B198E ,HB-JRQ , Tue Mar  9 16:44:25 2021
 ~E3B9B8 ,406870 ,G-DMNG , Tue Mar 16 09:23:45 2021
 ~E4148B ,4B9EC2 ,TC-GVB , Fri Feb 26 00:05:30 2021
 ~E539F7 ,3C942D ,D-BEAM , Sun Mar 21 15:43:48 2021
 ~E5E411 ,AA90C8 ,N780CR , Tue Mar  2 07:38:22 2021
 ~E70AE9 ,A4AD69 ,N400J , Sat Mar 20 16:26:35 2021
 ~E84EBC ,A788DB ,N585DW , Tue Mar  2 04:50:28 2021
 ~E84EBC ,A788DB ,N585DW , Tue Mar  2 05:16:07 2021
 ~E84EBC ,A788DB ,N585DW , Tue Mar  2 10:27:29 2021
 ~E9B0B1 ,43EACC ,M-LLMW , Mon Mar  8 08:37:44 2021
 ~EA1E7D ,40753B ,G-OOEG , Mon Mar  1 13:33:42 2021
 ~EB01E9 ,3CD52E ,D-CIAO , Fri Mar 19 10:27:34 2021
 ~EC201B ,C07F7C ,C-GWHF , Wed Mar 24 06:45:55 2021
 ~EC8F1B ,A2EDF2 ,N288Z , Tue Mar 23 17:14:46 2021
 ~ED78B5 ,45CD6B ,OY-SKK , Wed Mar 24 07:05:47 2021
 ~EDC42A ,A54E6A ,N441AX , Tue Mar  2 21:25:38 2021
 ~EDC42A ,A54E6A ,N441AX , Tue Mar  2 21:53:30 2021
 ~EEBACD ,407343 ,G-SGSG , Mon Mar  1 11:32:05 2021
 ~EEBACD ,42429A ,VP-BDD , Mon Mar  1 11:32:05 2021
 ~F1D08F ,43EAE1 ,M-ETAL , Tue Mar  2 09:20:32 2021
 ~F2132B ,A95306 ,N70JJ , Sun Mar 21 13:57:24 2021
 ~F3DEBE ,4B15CA ,HB-IGO , Wed Mar 24 12:07:33 2021
 ~FCDD13 ,3C00AF ,D-APGS , Sat Mar  6 04:44:54 2021
 ~FE24D2 ,4066C5 ,G-CHAG , Tue Feb 23 11:25:04 2021
 ~FE24D2 ,406DE8 ,G-MCGS , Tue Feb 23 11:25:04 2021
 ~FE24D2 ,43C326 ,ZH860 , Tue Feb 23 11:25:04 2021
